OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero,
69;Pacifico;VALLE DEL CAUCA;Florida;76275;Baja;10.4;27.5;27;20/05/2020;1,
176;Pacifico;VALLE DEL CAUCA;Palmira;76520;Baja;5.5;26.1;28;20/05/2020;1,
799;Pacifico;VALLE DEL CAUCA;Yumbo;76892;Baja;13.5;23.7;26;20/05/2020;1,
619;Pacifico;VALLE DEL CAUCA;Vijes;76869;Baja;6.2;15.6;27;20/05/2020;1,
79;Pacifico;VALLE DEL CAUCA;El Cerrito;76248;Baja;5.1;22.2;30;20/05/2020;1,
836;Pacifico;VALLE DEL CAUCA;Dagua;76233;Baja;15.6;44.6;28;20/05/2020;1,
914;Pacifico;VALLE DEL CAUCA;Buenaventura;76109;Moderada;19.7;113.1;29;20/05/2020;2,
89;Pacifico;VALLE DEL CAUCA;Calima (El Darién);76126;Baja;9.5;50.6;29;20/05/2020;1,
171;Pacifico;VALLE DEL CAUCA;Buga;76111;Baja;4.7;28.6;30;20/05/2020;1,
1037;Pacifico;VALLE DEL CAUCA;San Pedro;76670;Baja;4.9;26.4;28;20/05/2020;1,
512;Pacifico;VALLE DEL CAUCA;Tuluá;76834;Baja;3.8;37;28;20/05/2020;1,
1021;Pacifico;VALLE DEL CAUCA;Bugalagrande;76113;Baja;3.5;32.1;28;20/05/2020;1,
178;Pacifico;VALLE DEL CAUCA;Sevilla;76736;Baja;4.8;38.4;30;20/05/2020;1,
824;Pacifico;VALLE DEL CAUCA;Bolívar;76100;Baja;3.3;11.4;27;20/05/2020;1,
1043;Pacifico;VALLE DEL CAUCA;La Unión;76400;Baja;7.6;18;26;20/05/2020;1,
1087;Pacifico;VALLE DEL CAUCA;Versalles;76863;Baja;7.9;18.9;26;20/05/2020;1,
576;Pacifico;VALLE DEL CAUCA;El Dovio;76250;Baja;6;16.3;26;20/05/2020;1,
753;Andina;TOLIMA;Planadas;73555;Baja;7.7;62.6;29;20/05/2020;1,
728;Andina;TOLIMA;Alpujarra;73024;Baja;8;51.2;28;20/05/2020;1,
858;Andina;TOLIMA;Rioblanco;73616;Moderada;4.7;69.8;29;20/05/2020;2,
313;Andina;TOLIMA;Ataco;73067;Moderada;2.9;90.7;28;20/05/2020;2,
40;Andina;TOLIMA;Natagaima;73483;Baja;4.1;79;28;20/05/2020;1,
421;Andina;TOLIMA;Dolores;73236;Baja;8.3;45.5;28;20/05/2020;1,
572;Andina;TOLIMA;Prado;73563;Baja;3;54.4;28;20/05/2020;1,
235;Andina;TOLIMA;Chaparral;73168;Baja;3.1;54.6;28;20/05/2020;1,
35;Andina;TOLIMA;Purificación;73585;Baja;3.9;54.9;28;20/05/2020;1,
537;Andina;TOLIMA;Villarrica;73873;Baja;5.1;48.4;28;20/05/2020;1,
473;Andina;TOLIMA;Suárez;73770;Baja;3;36.6;24;20/05/2020;1,
197;Andina;TOLIMA;Roncesvalles;73622;Baja;5.4;44.4;29;20/05/2020;1,
672;Andina;TOLIMA;San Antonio;73675;Baja;5.6;45.6;28;20/05/2020;1,
608;Andina;TOLIMA;Carmen De Apicalá;73148;Baja;1.5;53.9;24;20/05/2020;1,
784;Andina;TOLIMA;Ortega;73504;Baja;7;68.6;27;20/05/2020;1,
638;Andina;TOLIMA;Cunday;73226;Baja;2.8;53.4;28;20/05/2020;1,
198;Andina;TOLIMA;Rovira;73624;Baja;8.2;41.8;28;20/05/2020;1,
436;Andina;TOLIMA;Icononzo;73352;Baja;3.9;39.6;27;20/05/2020;1,
122;Andina;TOLIMA;Melgar;73449;Baja;2.8;24.9;24;20/05/2020;1,
741;Andina;TOLIMA;Cajamarca;73124;Baja;6.2;49.6;30;20/05/2020;1,
365;Andina;TOLIMA;Anzoátegui;73043;Baja;10.9;27.4;26;20/05/2020;1,
491;Andina;TOLIMA;Ibagué;73001;Baja;8;29.6;27;20/05/2020;1,
699;Andina;TOLIMA;Murillo;73461;Baja;16.9;32.6;28;20/05/2020;1,
966;Andina;TOLIMA;Lérida;73408;Baja;23.4;39;24;20/05/2020;1,
1;Andina;TOLIMA;Líbano;73411;Baja;15.4;36.4;26;20/05/2020;1,
559;Andina;TOLIMA;Armero (Guayabal);73055;Baja;32.1;49.3;24;20/05/2020;1,
848;Andina;TOLIMA;Villahermosa;73870;Baja;11.1;46.1;26;20/05/2020;1,
262;Andina;TOLIMA;Casabianca;73152;Baja;14.6;48;25;20/05/2020;1,
993;Andina;TOLIMA;Palocabildo;73520;Baja;23.6;49.5;23;20/05/2020;1,
758;Andina;TOLIMA;Falan;73270;Baja;26;53.3;23;20/05/2020;1,
469;Andina;TOLIMA;Herveo;73347;Baja;10.2;41;26;20/05/2020;1,
285;Andina;TOLIMA;Fresno;73283;Baja;18.3;50.8;24;20/05/2020;1,
731;Andina;SANTANDER;Aguada;68013;Moderada;30.2;133.2;28;20/05/2020;2,
615;Andina;SANTANDER;Albania;68020;Baja;7.3;37.7;27;20/05/2020;1,
493;Andina;SANTANDER;Barbosa;68077;Baja;8.4;54.8;27;20/05/2020;1,
736;Andina;SANTANDER;Bucaramanga;68001;Baja;4.1;32.9;21;20/05/2020;1,
397;Andina;SANTANDER;Carcasí;68152;Baja;4;27.4;27;20/05/2020;1,
241;Andina;SANTANDER;Cerrito;68162;Baja;2.7;15.9;25;20/05/2020;1,
